-0	-0
0.001	40000
0.002	80000
0.003	120000
0.004	160000
0.005	200000
0.006	240000
0.007	280000
0.008	320000
0.009	360000
0.01	400000
0.011	440000
0.012	480000
0.013	520000
0.014	560000
0.015	600000
0.016	640000
0.017	680000
0.018	720000
0.019	760000
0.02	800000
0.021	840000
0.022	880000
0.023	920000
0.024	960000
0.025	1e+06
0.026	1.04e+06
0.027	1.08e+06
0.028	1.12e+06
0.029	1.16e+06
0.03	1.2e+06
0.031	1.24e+06
0.032	1.28e+06
0.033	1.32e+06
0.034	1.36e+06
0.035	1.4e+06
0.036	1.44e+06
0.037	1.48e+06
0.038	1.52e+06
0.039	1.56e+06
0.04	1.6e+06
0.041	1.64e+06
0.042	1.68e+06
0.043	1.72e+06
0.044	1.76e+06
0.045	1.8e+06
0.046	1.84e+06
0.047	1.88e+06
0.048	1.92e+06
0.049	1.96e+06
0.05	2e+06
0.051	2.04e+06
0.052	2.08e+06
0.053	2.12e+06
0.054	2.16e+06
0.055	2.2e+06
0.056	2.24e+06
0.057	2.28e+06
0.058	2.32e+06
0.059	2.36e+06
0.06	2.4e+06
0.061	2.44e+06
0.062	2.48e+06
0.063	2.52e+06
0.064	2.56e+06
0.065	2.6e+06
0.066	2.64e+06
0.067	2.68e+06
0.068	2.72e+06
0.069	2.76e+06
0.07	2.8e+06
0.071	2.84e+06
0.072	2.88e+06
0.073	2.92e+06
0.074	2.96e+06
0.075	3e+06
0.076	3.04e+06
0.077	3.08e+06
0.078	3.12e+06
0.079	3.16e+06
0.08	3.2e+06
0.081	3.24e+06
0.082	3.28e+06
0.083	3.32e+06
0.084	3.36e+06
0.085	3.4e+06
0.086	3.44e+06
0.087	3.48e+06
0.088	3.52e+06
0.089	3.56e+06
0.09	3.6e+06
0.091	3.64e+06
0.092	3.68e+06
0.093	3.72e+06
0.094	3.76e+06
0.095	3.8e+06
0.096	3.84e+06
0.097	3.88e+06
0.098	3.92e+06
0.099	3.96e+06
0.1	4e+06
0.099	3.96e+06
0.098	3.92e+06
0.097	3.88e+06
0.096	3.84e+06
0.095	3.8e+06
0.094	3.76e+06
0.093	3.72e+06
0.092	3.68e+06
0.091	3.64e+06
0.09	3.6e+06
0.089	3.56e+06
0.088	3.52e+06
0.087	3.48e+06
0.086	3.44e+06
0.085	3.4e+06
0.084	3.36e+06
0.083	3.32e+06
0.082	3.28e+06
0.081	3.24e+06
0.08	3.2e+06
0.079	3.16e+06
0.078	3.12e+06
0.077	3.08e+06
0.076	3.04e+06
0.075	3e+06
0.074	2.96e+06
0.073	2.92e+06
0.072	2.88e+06
0.071	2.84e+06
0.07	2.8e+06
0.069	2.76e+06
0.068	2.72e+06
0.067	2.68e+06
0.066	2.64e+06
0.065	2.6e+06
0.064	2.56e+06
0.063	2.52e+06
0.062	2.48e+06
0.061	2.44e+06
0.06	2.4e+06
0.059	2.36e+06
0.058	2.32e+06
0.057	2.28e+06
0.056	2.24e+06
0.055	2.2e+06
0.054	2.16e+06
0.053	2.12e+06
0.052	2.08e+06
0.051	2.04e+06
0.05	2e+06
0.049	1.96e+06
0.048	1.92e+06
0.047	1.88e+06
0.046	1.84e+06
0.045	1.8e+06
0.044	1.76e+06
0.043	1.72e+06
0.042	1.68e+06
0.041	1.64e+06
0.04	1.6e+06
0.039	1.56e+06
0.038	1.52e+06
0.037	1.48e+06
0.036	1.44e+06
0.035	1.4e+06
0.034	1.36e+06
0.033	1.32e+06
0.032	1.28e+06
0.031	1.24e+06
0.03	1.2e+06
0.029	1.16e+06
0.028	1.12e+06
0.027	1.08e+06
0.026	1.04e+06
0.025	1e+06
0.024	960000
0.023	920000
0.022	880000
0.021	840000
0.02	800000
0.019	760000
0.018	720000
0.017	680000
0.016	640000
0.015	600000
0.014	560000
0.013	520000
0.012	480000
0.011	440000
0.01	400000
0.009	360000
0.008	320000
0.007	280000
0.006	240000
0.005	200000
0.004	160000
0.003	120000
0.002	80000
0.001	40000
-6.93889e-18	0
-0.001	-40000
