-0.0012	-27589.4	2	128894
-0.0013	-28285.6	2	129242
-0.0014	-28984.5	2	129599
-0.0015	-29686.4	2	129963
-0.0016	-30391.2	2	130335
-0.0015	-28193	2	130335
-0.0014	-25994.8	2	130335
-0.0013	-23796.6	2	130335
-0.0012	-21598.4	2	130335
-0.0011	-19400.2	2	130335
-0.001	-17202.1	2	130335
-0.0009	-15003.9	2	130335
-0.0008	-12805.7	2	130335
-0.0007	-10607.5	2	130335
-0.0006	-8409.29	2	130335
-0.0005	-6211.1	2	130335
-0.0004	-4012.91	2	130335
-0.0003	-1814.72	2	130335
-0.0002	383.466	2	130335
-0.0001	2581.66	2	130335
-2.43945e-19	4779.85	2	130335
0.0001	6978.04	2	130335
0.0002	9176.23	2	130335
0.0003	11374.4	2	130335
0.0004	13572.6	2	130335
0.0005	15062.5	2	130423
0.0006	15723.5	2	130618
0.0007	16386.2	2	130821
0.0008	17050.5	2	131032
0.0009	17716.5	2	131251
0.001	18384.3	2	131479
0.0011	19053.9	2	131715
0.0012	19725.4	2	131960
0.0013	20398.9	2	132213
0.0014	21074.4	2	132474
0.0015	21752.1	2	132743
0.0016	22431.8	2	133021
0.0017	23113.8	2	133307
0.0018	23798.1	2	133601
0.0019	24484.7	2	133903
0.002	25173.7	2	134214
0.0021	25865.2	2	134533
0.0022	26559.2	2	134860
0.0023	27255.8	2	135195
0.0024	27955	2	135539
0.0025	28656.9	2	135890
0.0026	29361.6	2	136250
0.0027	30069.1	2	136619
